City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,lagoa,PT,60.01,scattered clouds,39.05,-27.9833,Casa Das Faias
1,torbay,CA,51.28,overcast clouds,47.6666,-52.7314,Gallows Cove
2,skjervoy,NO,15.8,broken clouds,70.0311,20.9714,Skjervøy Byggeservice AS
3,east london,ZA,67.3,light rain,-33.0153,27.9116,Tu Casa
4,codrington,AU,75.42,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
5,watsa,CD,69.17,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
6,presidencia roque saenz pena,AR,63.45,clear sky,-26.7852,-60.4388,Hotel Aconcagua
7,port alfred,ZA,65.52,light rain,-33.5906,26.891,The Halyards Hotel
8,punta arenas,CL,46.51,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
9,santiago del estero,AR,63.81,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
11,cape town,ZA,68.11,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
12,ushuaia,AR,42.46,scattered clouds,-54.8,-68.3,Albatros Hotel
13,ponta do sol,PT,62.71,scattered clouds,32.6667,-17.1,Hotel do Campo
14,laguna,US,62.96,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
15,chuy,UY,63.75,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
16,kamina,CD,70.07,overcast clouds,-8.7386,24.9906,Guest House Florvia
17,busselton,AU,70.5,scattered clouds,-33.65,115.3333,Observatory Guest House
18,sayyan,YE,53.01,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
20,jaisalmer,IN,77.59,broken clouds,26.9147,70.9181,Hotel Fifu
22,penzance,GB,51.01,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
23,souillac,MU,83.35,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
24,port elizabeth,ZA,69.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
25,the valley,AI,80.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
26,lebu,CL,51.75,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
27,pisco,PE,63.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
30,xuddur,SO,79.74,broken clouds,4.1213,43.8894,Banjanay Hotel
31,gambela,ET,85.82,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
33,lesnoy,RU,34.07,overcast clouds,57.6198,63.0784,Apartamenty Na Sovetskoy
34,zalaegerszeg,HU,33.76,clear sky,46.84,16.8439,Apartmanhotel Szent Kristóf
35,jamestown,US,33.12,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
36,hofn,IS,29.23,overcast clouds,64.2539,-15.2082,Hótel Höfn
37,paita,PE,65.66,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
38,sikonge,TZ,76.06,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
39,bambous virieux,MU,83.21,few clouds,-20.3428,57.7575,Casa Tia Villa
41,tukrah,LY,63.79,scattered clouds,32.5341,20.5791,Lagrota restaurant
42,victoria,HK,79.25,clear sky,22.2855,114.1577,Mini Hotel Central
43,boddam,GB,41.38,overcast clouds,57.4667,-1.7833,Palace Hotel
44,dingle,PH,87.37,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
45,tignere,CM,67.95,broken clouds,7.3667,12.65,SADECK
46,mar del plata,AR,55.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
47,hermanus,ZA,60.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
48,dhidhdhoo,MV,80.94,light rain,6.8833,73.1,Dhidhoo beach
49,bilma,NE,66.74,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
50,aksu,CN,33.04,few clouds,41.1231,80.2644,Pudong Holiday Hotel
51,qaanaaq,GL,8.37,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
52,neuquen,AR,58.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
53,hualmay,PE,64.81,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
54,ambilobe,MG,86.99,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
55,bay roberts,CA,52.05,overcast clouds,47.5999,-53.2648,Stonewall Inn
56,bull savanna,JM,72.1,overcast clouds,17.8868,-77.5902,Big Red's
58,bredasdorp,ZA,58.28,light rain,-34.5322,20.0403,Bredasdorp Country Manor
59,mabaruma,GY,73.09,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
61,brigantine,US,37.45,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
