City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,lagoa,PT,2021-11-30 06:13:52,39.05,-27.9833,60.01,67,30,7.05,scattered clouds,0.0,0
1,torbay,CA,2021-11-30 06:13:52,47.6666,-52.7314,51.28,95,90,21.85,overcast clouds,0.0,0
2,skjervoy,NO,2021-11-30 06:13:53,70.0311,20.9714,15.8,72,66,18.19,broken clouds,0.0,0
3,east london,ZA,2021-11-30 06:10:44,-33.0153,27.9116,67.3,94,100,11.7,light rain,0.0,0
4,codrington,AU,2021-11-30 06:13:54,-38.2667,141.9667,75.42,36,10,10.92,clear sky,0.0,0
5,watsa,CD,2021-11-30 06:13:54,3.0372,29.5355,69.17,89,95,1.63,overcast clouds,0.0,0
6,presidencia roque saenz pena,AR,2021-11-30 06:08:57,-26.7852,-60.4388,63.45,70,0,4.38,clear sky,0.0,0
7,port alfred,ZA,2021-11-30 06:13:55,-33.5906,26.891,65.52,89,100,15.05,light rain,0.0,0
8,punta arenas,CL,2021-11-30 06:13:55,-53.15,-70.9167,46.51,76,75,9.22,broken clouds,0.0,0
9,santiago del estero,AR,2021-11-30 06:11:25,-27.7951,-64.2615,63.81,49,0,7.45,clear sky,0.0,0
10,ostrovnoy,RU,2021-11-30 06:13:56,68.0531,39.5131,15.93,89,100,6.2,overcast clouds,0.0,0
11,cape town,ZA,2021-11-30 06:13:56,-33.9258,18.4232,68.11,82,69,1.23,light rain,0.0,0
12,ushuaia,AR,2021-11-30 06:13:24,-54.8,-68.3,42.46,75,40,8.05,scattered clouds,0.0,0
13,ponta do sol,PT,2021-11-30 06:13:57,32.6667,-17.1,62.71,69,45,3.71,scattered clouds,0.0,0
14,laguna,US,2021-11-30 06:13:57,38.421,-121.4238,62.96,93,1,6.91,clear sky,0.0,0
15,chuy,UY,2021-11-30 06:13:58,-33.6971,-53.4616,63.75,87,99,16.49,overcast clouds,0.0,0
16,kamina,CD,2021-11-30 06:13:58,-8.7386,24.9906,70.07,87,98,2.62,overcast clouds,0.0,0
17,busselton,AU,2021-11-30 06:13:58,-33.65,115.3333,70.5,41,39,14.41,scattered clouds,0.0,0
18,sayyan,YE,2021-11-30 06:13:59,15.1718,44.3244,53.01,37,0,5.55,clear sky,0.0,0
19,amapa,BR,2021-11-30 06:13:59,1.0,-52.0,71.46,99,93,1.72,overcast clouds,0.0,0
20,jaisalmer,IN,2021-11-30 06:14:00,26.9147,70.9181,77.59,17,80,9.46,broken clouds,0.0,0
21,jurm,AF,2021-11-30 06:14:00,36.8648,70.8342,49.28,28,82,3.33,broken clouds,0.0,0
22,penzance,GB,2021-11-30 06:14:00,50.1186,-5.5371,51.01,89,98,20.02,overcast clouds,0.0,0
23,souillac,MU,2021-11-30 06:14:01,-20.5167,57.5167,83.35,60,1,10.47,clear sky,0.0,0
24,port elizabeth,ZA,2021-11-30 06:14:01,-33.918,25.5701,69.1,72,86,8.28,overcast clouds,0.0,0
25,the valley,AI,2021-11-30 06:09:44,18.217,-63.0578,80.1,72,6,15.93,clear sky,0.0,0
26,lebu,CL,2021-11-30 06:14:02,-37.6167,-73.65,51.75,91,43,13.62,scattered clouds,0.0,0
27,pisco,PE,2021-11-30 06:14:03,-13.7,-76.2167,63.01,88,0,9.22,clear sky,0.0,0
28,agadez,NE,2021-11-30 06:14:03,19.75,10.25,62.13,45,29,9.17,scattered clouds,0.0,0
29,madimba,TZ,2021-11-30 06:14:04,-10.4,40.3333,84.9,64,29,5.77,scattered clouds,0.0,0
30,xuddur,SO,2021-11-30 06:14:04,4.1213,43.8894,79.74,45,54,20.67,broken clouds,0.0,0
31,gambela,ET,2021-11-30 06:14:05,8.25,34.5833,85.82,30,26,3.89,scattered clouds,0.0,0
32,saint-augustin,CA,2021-11-30 06:14:05,51.226,-58.6502,32.83,98,100,22.88,snow,0.0,0
33,lesnoy,RU,2021-11-30 06:14:06,57.6198,63.0784,34.07,93,100,8.03,overcast clouds,0.0,0
34,zalaegerszeg,HU,2021-11-30 06:14:06,46.84,16.8439,33.76,72,5,4.7,clear sky,0.0,0
35,jamestown,US,2021-11-30 06:12:02,42.097,-79.2353,33.12,80,90,6.91,overcast clouds,0.0,0
36,hofn,IS,2021-11-30 06:14:07,64.2539,-15.2082,29.23,85,100,7.78,overcast clouds,0.0,0
37,paita,PE,2021-11-30 06:14:07,-5.0892,-81.1144,65.66,83,100,10.27,overcast clouds,0.0,0
38,sikonge,TZ,2021-11-30 06:14:08,-5.6333,32.7667,76.06,55,90,7.54,overcast clouds,0.0,0
39,bambous virieux,MU,2021-11-30 06:13:15,-20.3428,57.7575,83.21,64,14,10.33,few clouds,0.0,0
40,mayor pablo lagerenza,PY,2021-11-30 06:14:08,-19.9309,-60.7718,66.29,79,96,2.3,overcast clouds,0.0,0
41,tukrah,LY,2021-11-30 06:14:08,32.5341,20.5791,63.79,69,48,22.26,scattered clouds,0.0,0
42,victoria,HK,2021-11-30 06:12:58,22.2855,114.1577,79.25,53,2,1.99,clear sky,0.0,0
43,boddam,GB,2021-11-30 06:14:09,57.4667,-1.7833,41.38,82,100,18.7,overcast clouds,0.0,0
44,dingle,PH,2021-11-30 06:14:09,10.9995,122.6711,87.37,66,71,8.23,broken clouds,0.0,0
45,tignere,CM,2021-11-30 06:14:10,7.3667,12.65,67.95,32,66,2.28,broken clouds,0.0,0
46,mar del plata,AR,2021-11-30 06:09:12,-38.0023,-57.5575,55.87,94,2,8.01,clear sky,0.0,0
47,hermanus,ZA,2021-11-30 06:14:10,-34.4187,19.2345,60.91,80,94,7.7,light rain,0.0,0
48,dhidhdhoo,MV,2021-11-30 06:14:11,6.8833,73.1,80.94,79,81,8.68,light rain,0.0,0
49,bilma,NE,2021-11-30 06:14:11,18.6853,12.9164,66.74,36,30,14.2,scattered clouds,0.0,0
50,aksu,CN,2021-11-30 06:14:12,41.1231,80.2644,33.04,34,18,1.03,few clouds,0.0,0
51,qaanaaq,GL,2021-11-30 06:14:12,77.484,-69.3632,8.37,67,100,2.44,overcast clouds,0.0,0
52,neuquen,AR,2021-11-30 06:09:19,-38.9516,-68.0591,58.89,58,0,0.0,clear sky,0.0,0
53,hualmay,PE,2021-11-30 06:14:13,-11.0964,-77.6139,64.81,88,90,6.6,overcast clouds,0.0,0
54,ambilobe,MG,2021-11-30 06:14:13,-13.2,49.05,86.99,45,6,7.63,clear sky,0.0,0
55,bay roberts,CA,2021-11-30 06:14:14,47.5999,-53.2648,52.05,83,93,8.99,overcast clouds,0.0,0
56,bull savanna,JM,2021-11-30 06:14:14,17.8868,-77.5902,72.1,78,100,6.11,overcast clouds,0.0,0
57,shubarshi,KZ,2021-11-30 06:14:14,48.5872,57.1869,29.73,80,56,12.77,broken clouds,0.0,0
58,bredasdorp,ZA,2021-11-30 06:14:15,-34.5322,20.0403,58.28,79,76,6.82,light rain,0.0,0
59,mabaruma,GY,2021-11-30 06:14:15,8.2,-59.7833,73.09,97,93,2.13,overcast clouds,0.0,0
60,awjilah,LY,2021-11-30 06:14:16,29.1081,21.2869,56.32,25,8,9.44,clear sky,0.0,0
61,brigantine,US,2021-11-30 06:14:16,39.4101,-74.3646,37.45,79,1,3.44,clear sky,0.0,0
62,dikson,RU,2021-11-30 06:14:16,73.5069,80.5464,-12.33,95,100,12.28,light snow,0.0,0
63,santa maria da boa vista,BR,2021-11-30 06:14:17,-8.8078,-39.8256,77.63,69,99,8.79,overcast clouds,0.0,0
64,surman,LY,2021-11-30 06:14:17,32.7567,12.5716,54.25,57,34,10.16,scattered clouds,0.0,0
65,shetpe,KZ,2021-11-30 06:14:18,44.1667,52.1167,49.98,68,46,22.19,scattered clouds,0.0,0
66,kalat,PK,2021-11-30 06:14:18,29.0225,66.5916,53.71,28,0,4.5,clear sky,0.0,0
67,faya,SA,2021-11-30 06:14:19,18.3851,42.4509,57.72,31,0,8.57,clear sky,0.0,0
68,tabou,CI,2021-11-30 06:14:19,4.423,-7.3528,78.04,85,34,4.18,scattered clouds,0.0,0
69,salalah,OM,2021-11-30 06:14:20,17.0151,54.0924,80.69,16,0,16.11,clear sky,0.0,0
70,bandarbeyla,SO,2021-11-30 06:14:20,9.4942,50.8122,80.89,60,5,20.49,clear sky,0.0,0
71,hithadhoo,MV,2021-11-30 06:14:21,-0.6,73.0833,81.45,77,13,10.85,few clouds,0.0,0
72,sabha,LY,2021-11-30 06:14:21,27.0377,14.4283,48.72,20,3,8.05,clear sky,0.0,0
73,necochea,AR,2021-11-30 06:14:22,-38.5473,-58.7368,53.04,75,0,12.82,clear sky,0.0,0
74,nouadhibou,MR,2021-11-30 06:14:23,20.931,-17.0347,64.78,56,1,20.36,clear sky,0.0,0
75,georgetown,MY,2021-11-30 06:14:23,5.4112,100.3354,84.13,78,20,1.01,few clouds,0.0,0
76,longyearbyen,SJ,2021-11-30 06:10:20,78.2186,15.6401,12.04,62,20,16.11,few clouds,0.0,0
77,shuyskoye,RU,2021-11-30 06:14:23,59.3736,41.0305,33.1,98,100,15.68,snow,0.0,0
78,ivybridge,GB,2021-11-30 06:14:24,50.3904,-3.9191,49.33,92,89,17.45,overcast clouds,0.0,0
79,axim,GH,2021-11-30 06:14:24,4.8699,-2.2405,78.12,86,40,4.03,light rain,0.0,0
80,cururupu,BR,2021-11-30 06:14:25,-1.8283,-44.8683,78.87,82,66,4.68,broken clouds,0.0,0
81,pafos,CY,2021-11-30 06:14:25,34.7667,32.4167,73.24,63,0,3.44,clear sky,0.0,0
82,hoyanger,NO,2021-11-30 06:13:29,61.2204,6.0749,34.99,92,95,3.78,light snow,0.0,0
83,xai-xai,MZ,2021-11-30 06:14:26,-25.0519,33.6442,80.67,55,69,7.96,broken clouds,0.0,0
84,kamenka,RU,2021-11-30 06:14:26,51.3223,42.7678,49.75,92,100,18.75,overcast clouds,0.0,0
85,vestmannaeyjar,IS,2021-11-30 06:14:26,63.4427,-20.2734,35.19,96,100,25.08,snow,0.0,0
86,klaksvik,FO,2021-11-30 06:14:27,62.2266,-6.589,32.92,89,100,11.9,light snow,0.0,0
87,winsum,NL,2021-11-30 06:14:27,53.33,6.5208,48.22,96,100,22.66,overcast clouds,0.0,0
88,vondrozo,MG,2021-11-30 06:14:28,-22.8167,47.2833,74.44,69,96,4.18,overcast clouds,0.0,0
89,arraial do cabo,BR,2021-11-30 06:14:28,-22.9661,-42.0278,73.83,94,16,22.15,few clouds,0.0,0
90,maniitsoq,GL,2021-11-30 06:14:29,65.4167,-52.9,32.99,98,100,18.63,snow,0.0,0
91,matara,LK,2021-11-30 06:14:29,5.9485,80.5353,83.37,73,74,1.81,broken clouds,0.0,0
92,yar-sale,RU,2021-11-30 06:14:29,66.8333,70.8333,0.88,93,100,9.06,overcast clouds,0.0,0
93,saint george,US,2021-11-30 06:14:30,37.1041,-113.5841,63.36,42,1,3.44,clear sky,0.0,0
94,winschoten,NL,2021-11-30 06:14:30,53.1442,7.0347,46.96,99,100,18.45,overcast clouds,0.0,0
95,weligama,LK,2021-11-30 06:14:31,5.9667,80.4167,83.05,73,79,1.99,broken clouds,0.0,0
96,sur,OM,2021-11-30 06:14:31,22.5667,59.5289,78.19,56,0,4.59,clear sky,0.0,0
97,bengkulu,ID,2021-11-30 06:14:32,-3.8004,102.2655,80.64,76,100,15.21,light rain,0.0,0
98,le vauclin,MQ,2021-11-30 06:14:32,14.5452,-60.8388,77.05,83,75,3.44,broken clouds,0.0,0
99,sal rei,CV,2021-11-30 06:14:33,16.1833,-22.9167,70.36,69,77,23.15,broken clouds,0.0,0
100,saint-pierre,RE,2021-11-30 06:10:50,-21.3393,55.4781,83.84,71,0,18.41,clear sky,0.0,0
101,black river,JM,2021-11-30 06:14:33,18.0264,-77.8487,74.98,77,96,6.33,overcast clouds,0.0,0
102,kolomak,UA,2021-11-30 06:14:33,49.8399,35.3044,37.33,69,77,20.27,broken clouds,0.0,0
